iter   time(left)   time(right)   position(left)   position(right)
0 0.2 0.29 0.081711 -0.0345015 
1 0.245 0.29 0.0474632 -0.0345015 
2 0.2675 0.29 0.00226228 -0.0345015 
3 0.2675 0.27875 0.00226228 -0.0182305 
4 0.2675 0.273125 0.00226228 -0.0084023 
5 0.2675 0.270312 0.00226228 -0.00315861 
6 0.2675 0.268906 0.00226228 -0.000468197 
7 0.268203 0.268906 0.000892308 -0.000468197 
8 0.268555 0.268906 0.000210838 -0.000468197 
9 0.268555 0.26873 0.000210838 -0.000128988 
10 0.268643 0.26873 4.08479e-05 -0.000128988 
11 0.268643 0.268687 4.08479e-05 -4.40895e-05 
12 0.268643 0.268665 4.08479e-05 -1.62563e-06 
13 0.268654 0.268665 1.96099e-05 -1.62563e-06 
14 0.268659 0.268665 8.99185e-06 -1.62563e-06 
15 0.268662 0.268665 3.68303e-06 -1.62563e-06 
16 0.268663 0.268665 1.02868e-06 -1.62563e-06 
17 0.268663 0.268664 1.02868e-06 -2.98476e-07 
